Num_Circo;Nom;Prenom;Nb_Voix
059-17;HOUBRON;Dimitri;12678
059-18;BRICOUT;Guy;18861
059-18;DISDIER;Mélanie;18387
059-19;CHENU;Sébastien;16425
059-19;SOLOCH;Patrick;12542
059-20;ROUSSEL;Fabien;13269
059-20;FLORQUIN;Guillaume;11887
059-21;DESCAMPS;Béatrice;14735
059-21;VALENTIN;Océane;10825
060-01;HABERT-DASSAULT;Victor;20480
060-01;MAGNIER;David;14625
060-02;BALLARD;Philippe;21451
060-02;HERBANNE;Chanez;16974
060-03;SABATOU;Alexandre;14066
060-03;LABATUT;Valérie;12769
060-04;WOERTH;Eric;21201
060-04;HAVEZ;Audrey;17808
060-05;VATIN;Pierre;18430
060-05;LAMZOUDI;Myriam;12399
060-06;GUINIOT;Michel;17135
060-06;BUREAU-BONNARD;Carole;15458
060-07;MINOT;Maxime;18442
060-07;PEN;Loïc;14058
061-01;JOURDAN;Chantal;14776
061-01;DUHARD;Marie-Annick;14661
061-02;LOUWAGIE;Véronique;18118
061-02;MOREL;Alexandre;11679
061-03;NURY;Jérôme;21603
061-03;FRÉMONT;Anthony;9411
062-01;BLAIRY;Emmanuel;26418
062-01;DUVERGÉ;Bruno;21093
062-02;MAQUET;Jacqueline;14763
062-02;HEUSÈLE;Alban;12966
062-03;TELLIER;Jean-Marc;14906
062-03;CLAVET;Bruno;14247
062-04;FAIT;Philippe;23331
062-04;VANPEENE;Françoise;18063
062-05;PONT;Jean-Pierre;11543
062-05;GOLLIOT;Antoine;9974
062-06;ENGRAND;Christine;21858
062-06;BOURGUIGNON;Brigitte;21802
062-07;DUMONT;Pierre-Henri;20132
062-07;DE FLEURIAN;Marc;15930
062-08;PETIT;Bertrand;21112
062-08;EVRARD;Auguste;16729
062-09;PARMENTIER;Caroline;15500
062-09;DEPREZ-AUDEBERT;Marguerite;12804
062-10;FRAPPÉ;Thierry;21296
062-10;DAGBERT;Michel;11338
062-11;LE PEN;Marine;22301
062-11;TONDELIER;Marine;14238
062-12;BILDE;Bruno;20906
062-12;DARRAS;Jérôme;16284
063-01;MAXIMI;Marianne;18189
063-01;THOMAS;Valérie;16637
063-02;PIRÈS BEAUNE;Christine;26613
063-02;MONNET;Karina;15077
063-03;VICHNIEVSKY;Laurence;23042
063-03;BONNET;Nicolas;20358
063-04;LINGEMANN;Delphine;22680
063-04;GOLÉO;Valérie;22564
063-05;CHASSAIGNE;André;30966
063-05;CARLETTO;Brigitte;13633
064-01;POUEYTO;Josy;11200
064-01;LALANNE;Jean-Yves;10324
064-02;MATTEI;Jean-Paul;17480
064-02;FAURE;Cécile;14018
064-03;HABIB;David;26414
064-03;BABY;Jean-François;13277
064-04;ECHANIZ;Inaki;19935
064-04;TROUNDAY;Annick;19846
064-05;LASSERRE;Florence;24184
064-05;PEREIRA-OSTANEL;Sandra;20269
064-06;BRU;Vincent;27994
064-06;DUBOIS--ROBIN;Tom;18497
065-01;FERRER;Sylvie;20656
065-01;SEMPASTOUS;Jean-Bernard;20552
065-02;MOURNET;Benoit;21073
065-02;KORN;Grégory;19238
066-01;BLANC;Sophie;15859
066-01;GRAU;Romain;13583
066-02;SABATINI;Anaïs;26682
066-02;LIS;Frédérique;16897
066-03;DOGOR-SUCH;Sandrine;19299
066-03;CULLELL;Nathalie;16368
066-04;MARTINEZ;Michèle;24332
066-04;CAZENOVE;Sébastien;18905
;;;
;;;
067-03;STUDER;Bruno;9615
067-03;MAS;Sébastien;8446
067-04;BUFFET;Françoise;26874
067-04;LAHMEUR;Imane;13782
067-05;SITZENSTUHL;Charles;25426
067-05;WOLFF;Marc;16484
067-06;MOREL;Louise;23080
067-06;STEINBACH;Jean-Frédéric;16785
067-07;HETZEL;Patrick;21676
067-07;ESCHENMANN;Valérie;12177
067-08;KOCHERT;Stéphanie;21373
067-08;KNOEPFFLER;Ludwig;16365
067-09;THIEBAUT;Vincent;22108
067-09;GNAEDIG;Laurent;14868
068-01;KLINKERT;Brigitte;14141
068-01;HEMEDINGER;Yves;14015
068-02;OTT;Hubert;17947
068-02;CATTIN;Jacques;15976
068-03;LEMAIRE;Didier;18757
068-03;ZIMMERMANN;Christian;16037
068-04;SCHELLENBERGER;Raphaël;22214
068-04;WILHELM;Marion;18221
068-05;BECHT;Olivier;18443
068-05;EL HAJJAJI;Nadia;10094
068-06;FUCHS;Bruno;18604
068-06;RITZ;Christelle;15030
;;;
;;;
;;;
;;;
069-05;BROCARD;Blandine;18831
069-05;MATTEUCCI;Fabrice;7928
;;;
069-07;VINCENDET;Alexandre;14801
069-07;LAHMAR;Abdelkader;12894
069-08;SERRE;Nathalie;20331
069-08;DESPRAS;Dominique;19158
069-09;PORTIER;Alexandre;22385
069-09;MÉJEAN;Ambroise;14010
069-10;GASSILLOUD;Thomas;30089
069-10;EDERY;Michèle;15985
069-11;FUGIT;Jean-Luc;24370
069-11;YOUSFI;Abdel;13654
;;;
069-13;TANZILLI;Sarah;14839
069-13;PRANDT;Victor;8106
069-14;BOUMERTIT;Idir;8531
069-14;BLEIN;Yves;6836
070-01;VILLEDIEU;Antoine;22497
070-01;BESSOT BALLOT;Barbara;18780
070-02;SALMON;Emeric;22245
070-02;LEJEUNE;Christophe;18663
071-01;DIRX;Benjamin;18349
071-01;MONIN;Patrick;13702
071-02;CORNELOUP;Josiane;22823
071-02;VINAUGER;Céline;11419
071-03;REBEYROTTE;Rémy;18482
071-03;BAROIN;Sandrine;15925
071-04;UNTERMAIER;Cécile;19421
071-04;DELOGE;Valérie;15072
071-05;MARGUERITTE;Louis;17893
071-05;RIBOULET;Eric;16085
072-01;DELPECH;Julie;17300
072-01;BONNET;Ghislaine;14213
072-02;KARAMANLI;Marietta;20399
072-02;FURET;Angéline;11952
072-03;MARTINEAU;Eric;18394
072-03;PINÇON;Bruno;17690
072-04;LEBOUCHER;Elise;14891
072-04;DE MALHERBE;Raymond;14803
072-05;GRELIER;Jean-Carles;21174
072-05;DE VIGNERAL;Victoria;14404
073-01;FERRARI;Marina;24051
073-01;GRANATA;Christel;16490
073-02;ROLLAND;Vincent;20474
073-02;MORAND;Cédric;11479
073-03;BONNIVARD;Emilie;23149
073-03;KRAWEZYNSKI;Nathalie;12170
073-04;MIGNOLA;Patrick;10423
073-04;COULOMME;Jean-François;9758
074-01;RIOTTON;Véronique;29312
074-01;DUVAL;Anne-Valérie;17477
074-02;ARMAND;Antoine;25809
074-02;FONTANA;Loris;17290
074-03;PETEX-LEVET;Christelle;22324
074-03;VANEECKELOOT-TASSA;Fabienne;12994
074-04;DUBY-MULLER;Virginie;23171
074-04;VERVOORT;Valérian;11453
074-05;VIOLLAND;Anne-Cécile;23873
074-05;MARTIN-COCHER;Odile;15858
074-06;ROSEREN;Xavier;19398
074-06;MARTIN;Dominique;11338
076-01;ADAM;Damien;15822
076-01;DA SILVA;Maxime;15744
076-02;VIDAL;Annie;26856
076-02;DUVAL;Sébastien;18174
076-03;WULFRANC;Hubert;18867
076-03;TESSIER;Salomée;7947
076-04;DUFOUR;Alma;17763
076-04;PENNELLE;Guillaume;15300
076-05;LESEUL;Gérard;22872
076-05;MONTIER;Jean-Cyril;18113
076-06;JUMEL;Sébastien;27801
076-06;MARTIN;Patrice;20290
076-07;FIRMIN LE BODO;Agnès;21578
076-07;DUBOC;Nancy;15709
076-08;LECOQ;Jean-Paul;15117
076-08;ECHCHENNA;Wasil;7872
076-09;POUSSIER-WINSBACK;Marie-Agnès;21352
076-09;GOURY;Nicolas;20644
076-10;BATUT;Xavier;25899
076-10;THOMAS;Anaïs;24835
077-01;LUQUET;Aude;14994
077-01;SAINT-MARTIN;Arnaud;13266
077-02;VALLETOUX;Frédéric;20037
077-02;MOLINA;Marie-Pierre;14856
